,0,1
0,Стас,['Стасик', 'Стасечка', 'Стасенька', 'Стасюшка']
1,Стася,"['Стасик', 'Стасечка', 'Стасенька', 'Стасюшка']"
2,Даша,"['Дашенька', 'Дашуля', 'Дашулечка', 'Дашулик', 'Дашуленька', 'Дашутка', 'Дашуточка', 'Дашуля', 'Дашечка']"
3,Таша,"['Ташуня', 'Ташуля', 'Ташулечка', 'Ташулик', 'Ташуленька', 'Ташутка', 'Ташуточка']"
4,Глаша,"['Глашенька', 'Глашуля', 'Глашулечка', 'Глашулик', 'Глашуленька', 'Глашутка', 'Глашуточка']"
5,Оля,"['Оленька', 'Олечка', 'Олик', 'Олюшка', 'Олюшка']"
6,Олег,"['Олежек', 'Олежка']"
7,Олежек,['Олежечка']
8,Осип,['Осипушка']
9,Орест,['Орестушка']
10,Вася,"['Васенька', 'Васечка', 'Васик', 'Васюшка', 'Васютка']"
11,Володя,['Володенька']
12,Алёша,['Алёшенька', 'Алёшечка']
13,Лёша,['Лёшенька', 'Лёшечка']
14,Людмила,['Людмилочка']
15,Вика,['Викуся', 'Викушка']
16,Дана,"['Дануся', 'Данушка','Даночка']"
17,Дануся,"['Данусенька', 'Данусечка', 'Данусик', 'Данусюшка']"
18,Домна,['Доминушка']
19,Коля,"['Коленька', 'Колечка', 'Колик', 'Колюшка', 'Колечка']"
20,Петя,"['Петенька', 'Петюня', 'Петюля']"
21,Котя,['Котечка']
22,Витя,"['Витенька', 'Витечка', 'Витёк', 'Витюха', 'Витюшка', 'Витюша']"
23,Андрей,"['Андрюша', 'Андреюшка', 'Андрейка']"
24,Андрюша,['Андрюшенька']
25,Клава,['Клавочка']
26,Клара,['Кларочка']
27,Наташа,"['Наташенька', 'Наташуля', 'Наташулечка', 'Наташулик', 'Наташуленька', 'Наташутка', 'Наташуточка']"
28,Наталья,['Натальюшка']
29,Полина,['Полиночка']
30,Поля,"['Полечка', 'Полик', 'Поленька', 'Полюшка']"
31,Ирина,"['Ириночка', 'Ириша', 'Иринушка']"
32,Ира,['Ирочка']
